"","probability","ages","case","status","value","Gender.1","outc","gend"
"290",0.5,"20 to 29","meta","healthy",0.000735076943153751,"F","hosp","f"
"291",0.95,"20 to 29","meta","healthy",0.00109649168682323,"F","hosp","f"
"292",0.975,"20 to 29","meta","healthy",0.00119027794311117,"F","hosp","f"
"293",0.025,"30 to 39","meta","healthy",0.000797691958617462,"F","hosp","f"
"294",0.5,"30 to 39","meta","healthy",0.00129916304449648,"F","hosp","f"
"295",0.95,"30 to 39","meta","healthy",0.00184614269068554,"F","hosp","f"
"296",0.975,"30 to 39","meta","healthy",0.00197839188478072,"F","hosp","f"
"297",0.025,"20 to 29","best","healthy",0.000120006305176825,"F","hosp","f"
"298",0.5,"20 to 29","best","healthy",0.00024398062582008,"F","hosp","f"
"299",0.95,"20 to 29","best","healthy",0.000434025799211171,"F","hosp","f"
"300",0.975,"20 to 29","best","healthy",0.000480048451424373,"F","hosp","f"
"301",0.025,"30 to 39","best","healthy",0.000216632262002422,"F","hosp","f"
"302",0.5,"30 to 39","best","healthy",0.000427592376607727,"F","hosp","f"
"303",0.95,"30 to 39","best","healthy",0.000746148727416158,"F","hosp","f"
"304",0.975,"30 to 39","best","healthy",0.000823222141848884,"F","hosp","f"
"305",0.025,"20 to 29","meta","all",0.000998449483470711,"F","hosp","f"
"306",0.5,"20 to 29","meta","all",0.00135262806987455,"F","hosp","f"
"307",0.95,"20 to 29","meta","all",0.001739025278685,"F","hosp","f"
"308",0.975,"20 to 29","meta","all",0.00184401486274402,"F","hosp","f"
"309",0.025,"30 to 39","meta","all",0.00207273686637272,"F","hosp","f"
"310",0.5,"30 to 39","meta","all",0.00279850740082739,"F","hosp","f"
"311",0.95,"30 to 39","meta","all",0.00359300554104747,"F","hosp","f"
"312",0.975,"30 to 39","meta","all",0.003800194723836,"F","hosp","f"
"313",0.025,"20 to 29","best","all",0.000250978379645827,"F","hosp","f"
"314",0.5,"20 to 29","best","all",0.000449428762039245,"F","hosp","f"
"315",0.95,"20 to 29","best","all",0.000730574353303697,"F","hosp","f"
"316",0.975,"20 to 29","best","all",0.000794506288990647,"F","hosp","f"
"317",0.025,"30 to 39","best","all",0.000177370013267732,"F","hosp","f"
"318",0.5,"30 to 39","best","all",0.000317617739019165,"F","hosp","f"
"319",0.95,"30 to 39","best","all",0.000516307352535319,"F","hosp","f"
"320",0.975,"30 to 39","best","all",0.000561488966573262,"F","hosp","f"
"321",0.025,"20 to 29","meta","healthy",0.000546463340327966,"F","hosp","m"
"322",0.5,"20 to 29","meta","healthy",0.000892256812473418,"F","hosp","m"
"323",0.95,"20 to 29","meta","healthy",0.001330952067672,"F","hosp","m"
"324",0.975,"20 to 29","meta","healthy",0.00144479243073695,"F","hosp","m"
"325",0.025,"30 to 39","meta","healthy",0.00100883494340351,"F","hosp","m"
"326",0.5,"30 to 39","meta","healthy",0.00164304160560688,"F","hosp","m"
"327",0.95,"30 to 39","meta","healthy",0.00233480259735913,"F","hosp","m"
"328",0.975,"30 to 39","meta","healthy",0.00250205714568303,"F","hosp","m"
"329",0.025,"20 to 29","best","healthy",0.000145666986743441,"F","hosp","m"
"330",0.5,"20 to 29","best","healthy",0.000296150460883061,"F","hosp","m"
"331",0.95,"20 to 29","best","healthy",0.000526832571395708,"F","hosp","m"
"332",0.975,"20 to 29","best","healthy",0.000582696145063444,"F","hosp","m"
"333",0.025,"30 to 39","best","healthy",0.000273973171492621,"F","hosp","m"
"334",0.5,"30 to 39","best","healthy",0.000540772821381409,"F","hosp","m"
"335",0.95,"30 to 39","best","healthy",0.000943648611549387,"F","hosp","m"
"336",0.975,"30 to 39","best","healthy",0.00104112277165239,"F","hosp","m"
"337",0.025,"20 to 29","meta","all",0.00121194571783892,"F","hosp","m"
"338",0.5,"20 to 29","meta","all",0.00164185752434341,"F","hosp","m"
"339",0.95,"20 to 29","meta","all",0.00211087718968982,"F","hosp","m"
"340",0.975,"20 to 29","meta","all",0.00223831646320791,"F","hosp","m"
"341",0.025,"30 to 39","meta","all",0.00262137452520098,"F","hosp","m"
"342",0.5,"30 to 39","meta","all",0.00353925099134902,"F","hosp","m"
"343",0.95,"30 to 39","meta","all",0.00454404673695523,"F","hosp","m"
"344",0.975,"30 to 39","meta","all",0.00480607731810157,"F","hosp","m"
"345",0.025,"20 to 29","best","all",0.000304644528859464,"F","hosp","m"
"346",0.5,"20 to 29","best","all",0.000545529115537958,"F","hosp","m"
"347",0.95,"20 to 29","best","all",0.000886791443841058,"F","hosp","m"
"348",0.975,"20 to 29","best","all",0.000964393803271018,"F","hosp","m"
"349",0.025,"30 to 39","best","all",0.000224318504609925,"F","hosp","m"
"350",0.5,"30 to 39","best","all",0.000401688734988251,"F","hosp","m"
"351",0.95,"30 to 39","best","all",0.000652969975623846,"F","hosp","m"
"352",0.975,"30 to 39","best","all",0.00071011081871301,"F","hosp","m"
"353",0.025,"20 to 29","meta","healthy",0.000498330877106623,"F","hosp","b"
"354",0.5,"20 to 29","meta","healthy",0.000813666877813584,"F","hosp","b"
"355",0.95,"20 to 29","meta","healthy",0.00121372187724761,"F","hosp","b"
"356",0.975,"20 to 29","meta","healthy",0.00131753518692406,"F","hosp","b"
"357",0.025,"30 to 39","meta","healthy",0.000903263451010484,"F","hosp","b"
"358",0.5,"30 to 39","meta","healthy",0.00147110232505168,"F","hosp","b"
"359",0.95,"30 to 39","meta","healthy",0.00209047264402234,"F","hosp","b"
"360",0.975,"30 to 39","meta","healthy",0.00224022451523188,"F","hosp","b"
"361",0.025,"20 to 29","best","healthy",0.000132836645960133,"F","hosp","b"
"362",0.5,"20 to 29","best","healthy",0.000270065543351571,"F","hosp","b"
"363",0.95,"20 to 29","best","healthy",0.000480429185303439,"F","hosp","b"
"364",0.975,"20 to 29","best","healthy",0.000531372298243908,"F","hosp","b"
"365",0.025,"30 to 39","best","healthy",0.000245302716747522,"F","hosp","b"
"366",0.5,"30 to 39","best","healthy",0.000484182598994568,"F","hosp","b"
"367",0.95,"30 to 39","best","healthy",0.000844898669482773,"F","hosp","b"
"368",0.975,"30 to 39","best","healthy",0.000932172456750636,"F","hosp","b"
